strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
1600.0,4,6,10,-2,-5643.63,1,1,2
1800.0,0,0,0,0,-5443.63,0,0,0
2000.0,0,3,3,-3,-5243.63,0,3,3
2200.0,0,2,2,-2,-5043.63,0,1,1
2400.0,0,77,77,-77,-4843.63,0,50,50
2600.0,0,196,196,-196,-4643.63,2,50,52
2800.0,0,20,20,-20,-4443.63,0,6,6
3000.0,0,32,32,-32,-4243.63,2,10,12
3200.0,0,90,90,-90,-4043.63,0,2,2
3400.0,0,131,131,-131,-3843.63,0,3,3
3600.0,0,148,148,-148,-3643.63,0,4,4
3800.0,0,273,273,-273,-3443.63,0,13,13
4000.0,140,375,515,-235,-3243.63,14,10,24
4200.0,0,689,689,-689,-3043.63,0,1,1
4400.0,1,1117,1118,-1116,-2843.63,1,2,3
4600.0,6,8735,8741,-8729,-2643.63,5,1,6
4800.0,1,3329,3330,-3328,-2443.63,0,2506,2506
4900.0,0,360,360,-360,-2343.63,0,5,5
5000.0,1007,3131,4138,-2124,-2243.63,30,141,171
5050.0,4,3227,3231,-3223,-2193.63,30,1000,1030
5100.0,0,16572,16572,-16572,-2143.63,0,31,31
5150.0,0,325,325,-325,-2093.63,0,2,2
5200.0,2,45971,45973,-45969,-2043.63,1,125,126
5250.0,1,114,115,-113,-1993.63,1,10,11
5300.0,2,47359,47361,-47357,-1943.63,1,121,122
5350.0,1,93,94,-92,-1893.63,1,1,2
5400.0,3,3714,3717,-3711,-1843.63,3,100,103
5450.0,0,142,142,-142,-1793.63,0,1,1
5475.0,0,658,658,-658,-1768.63,0,1,1
5500.0,8,3862,3870,-3854,-1743.63,2,501,503
5525.0,0,672,672,-672,-1718.63,0,626,626
5550.0,0,1737,1737,-1737,-1693.63,0,1001,1001
5575.0,0,161,161,-161,-1668.63,0,1,1
5600.0,22,6276,6298,-6254,-1643.63,2,213,215
5625.0,22,1254,1276,-1232,-1618.63,22,1,23
5650.0,2,1560,1562,-1558,-1593.63,1,12,13
5675.0,0,65,65,-65,-1568.63,0,1,1
5700.0,0,1127,1127,-1127,-1543.63,0,65,65
5725.0,1,235,236,-234,-1518.63,1,1,2
5750.0,0,21551,21551,-21551,-1493.63,1,1,2
5775.0,0,471,471,-471,-1468.63,0,3,3
5800.0,2,6447,6449,-6445,-1443.63,1,4,5
5825.0,0,265,265,-265,-1418.63,0,4,4
5850.0,1,801,802,-800,-1393.63,1,5,6
5875.0,0,425,425,-425,-1368.63,0,8,8
5900.0,0,1794,1794,-1794,-1343.63,0,100,100
5925.0,18,1787,1805,-1769,-1318.63,18,704,722
5950.0,0,2409,2409,-2409,-1293.63,0,1,1
5970.0,18,78,96,-60,-1273.63,18,2,20
5975.0,1,209,210,-208,-1268.63,1,2,3
5980.0,242,58,300,184,-1263.63,28,2,30
5990.0,0,164,164,-164,-1253.63,0,2,2
6000.0,1396,5723,7119,-4327,-1243.63,31,7,38
6010.0,4,123,127,-119,-1233.63,11,20,31
6020.0,2,134,136,-132,-1223.63,2,60,62
6025.0,0,632,632,-632,-1218.63,0,167,167
6030.0,5,505,510,-500,-1213.63,0,434,434
6040.0,0,69,69,-69,-1203.63,0,35,35
6050.0,2,1127,1129,-1125,-1193.63,13,628,641
6060.0,0,430,430,-430,-1183.63,0,400,400
6070.0,0,16,16,-16,-1173.63,0,1,1
6075.0,1,276,277,-275,-1168.63,1,6,7
6080.0,0,64,64,-64,-1163.63,0,10,10
6090.0,1,70,71,-69,-1153.63,1,8,9
6100.0,16,5013,5029,-4997,-1143.63,7,20,27
